id,LocId,State Id,City,Name,ARPLatitude,ARPLongitude,Elevation,Sectional,UNICOM,CTAF,ICAOId
2364,GUM,GU,GUAM,GUAM INTL,013-29-02.2200N,144-47-49.6600E,304.5,GNC 7,,,PGUM
2365,TNI,MP,TINIAN ISLAND,TINIAN INTL,014-59-57.2300N,145-37-09.6600E,270,GNC 7,,123.6,PGWT
2366,HDH,HI,MOKULEIA,DILLINGHAM AIRFIELD,021-34-46.1000N,158-11-50.2100W,14.2,HAWAIIAN ISLANDS,123,123,PHDH
2367,HNM,HI,HANA,HANA,020-47-44.2900N,156-00-51.9800W,77.5,HAWAIIAN ISLANDS,,122.9,PHHN
2368,JRF,HI,KAPOLEI,KALAELOA (JOHN RODGERS FLD),021-18-26.4700N,158-04-13.0900W,30,HAWAIIAN ISLANDS,,132.6,PHJR
2369,KOA,HI,KAILUA/KONA,ELLISON ONIZUKA KONA INTL AT KEAHOLE,019-44-19.5600N,156-02-44.2700W,47.1,HAWAIIAN ISLANDS,,120.3,PHKO
2370,LIH,HI,LIHUE,LIHUE,021-58-33.5400N,159-20-20.2500W,152.4,HAWAIIAN ISLANDS,,118.9,PHLI
2371,LUP,HI,KALAUPAPA,KALAUPAPA,021-12-39.7500N,156-58-24.9500W,23.9,HAWAIIAN ISLANDS,,122.9,PHLU
2372,MKK,HI,KAUNAKAKAI,MOLOKAI,021-09-10.3900N,157-05-46.5200W,453.9,HAWAIIAN ISLANDS,,125.7,PHMK
2373,MUE,HI,KAMUELA,WAIMEA-KOHALA,020-00-04.7800N,155-40-05.1900W,2671.1,HAWAIIAN ISLANDS,,122.9,PHMU
2374,HNL,HI,HONOLULU,DANIEL K INOUYE INTL,021-19-04.1400N,157-55-12.8200W,12.6,HAWAIIAN ISLANDS,,,PHNL
2375,LNY,HI,LANAI CITY,LANAI,020-47-08.2000N,156-57-05.1100W,1308.1,HAWAIIAN ISLANDS,,122.9,PHNY
2376,OGG,HI,KAHULUI,KAHULUI,020-53-55.1300N,156-25-49.6500W,55.4,HAWAIIAN ISLANDS,122.95,118.7,PHOG
2377,PAK,HI,HANAPEPE,PORT ALLEN,021-53-49.0000N,159-36-11.4000W,24,HAWAIIAN ISLANDS,,122.9,PHPA
2378,ITO,HI,HILO,HILO INTL,019-43-12.9500N,155-02-54.4900W,37.6,HAWAIIAN ISLANDS,,118.1,PHTO
2379,UPP,HI,HAWI,UPOLU,020-15-54.7000N,155-51-35.8000W,96,HAWAIIAN ISLANDS,,122.9,PHUP
2380,MAJ,,MAJURO ATOLL,AMATA KABUA INTL,007-03-53.9000N,171-16-19.3000E,6.6,CAPE LISBURNE,,123.6,PKMJ
2381,MDY,QM,MIDWAY ATOLL,HENDERSON FLD,028-12-05.3400N,177-22-52.7100W,12,HAWAIIAN ISLANDS,,122.9,PMDY
2382,4KA,AK,TUNUNAK,TUNUNAK,060-34-10.3000N,165-14-46.6000W,62.3,BETHEL,,122.9,POKA
2383,KWF,AK,WATERFALL,WATERFALL,055-17-46.7600N,133-14-36.0100W,0,KETCHIKAN,,122.9,POKW
2384,OOH,AK,HOONAH,HOONAH,058-06-43.7700N,135-27-06.5000W,0,JUNEAU,,122.7,POOH
2385,WSB,AK,STEAMBOAT BAY,STEAMBOAT BAY,055-31-46.7000N,133-38-30.1100W,0,KETCHIKAN,,122.9,POWS
2386,TCT,AK,TAKOTNA,TAKOTNA,062-59-34.6000N,156-01-47.0000W,423.1,MC GRATH,,122.9,PPCT
2387,DM2,AK,DIOMEDE,DIOMEDE,065-45-31.0000N,168-57-11.0000W,20,NOME,,123,PPDM
2388,16A,AK,NUNAPITCHUK,NUNAPITCHUK,060-54-21.6000N,162-26-26.1000W,21.9,BETHEL,,122.9,PPIT
2389,PIZ,AK,POINT LAY,POINT LAY LRRS,069-43-58.4000N,163-00-19.2000W,28.5,CAPE LISBURNE,,122.8,PPIZ
2390,PWR,AK,PORT WALTER,PORT WALTER,056-22-51.6600N,134-39-03.3500W,0,JUNEAU,,122.9,PPWR
2391,TKK,,WENO ISLAND,CHUUK INTL,007-27-42.8100N,151-50-34.8600E,10.4,GNC 7,,123.6,PTKK
2392,PNI,,POHNPEI ISLAND,POHNPEI INTL,006-59-06.3000N,158-12-35.3000E,8.9,,,123.6,PTPN
2393,ROR,,BABELTHUAP ISLAND,BABELTHUAP/KOROR,007-22-02.3000N,134-32-39.3000E,176.5,GNC 13,,123.6,PTRO
2394,TTK,,KOSRAE,KOSRAE,005-21-25.1000N,162-57-30.2000E,11.6,GNC 7,,123.6,PTSA
2395,T11,,YAP ISLAND,YAP INTL,009-29-56.0800N,138-04-56.9400E,90.7,GNC 13,,123.6,PTYA
2396,TFFG,,GRAND CASE,GRAND CASE,018-06-02.0000N,063-02-56.0000W,20,,,119.2,TFFG
2397,STT,VI,CHARLOTTE AMALIE,CYRIL E KING,018-20-14.3000N,064-58-24.0000W,23.6,PUERTO RICO-VIRGIN ISLANDS,122.95,118.8,TIST
2398,STX,VI,CHRISTIANSTED,HENRY E ROHLSEN,017-42-05.4200N,064-48-06.9900W,74.1,PUERTO RICO-VIRGIN ISLANDS,123,118.6,TISX
2399,ABO,PR,ARECIBO,ANTONIO/NERY/JUARBE POL,018-27-03.2500N,066-40-31.6200W,20.8,PUERTO RICO-VIRGIN ISLANDS,122.8,122.8,TJAB
2400,BQN,PR,AGUADILLA,RAFAEL HERNANDEZ,018-29-41.5000N,067-07-46.0000W,237.2,PUERTO RICO-VIRGIN ISLANDS,,124.95,TJBQ
2401,CPX,PR,ISLA DE CULEBRA,BENJAMIN RIVERA NORIEGA,018-18-46.6200N,065-18-13.9700W,49,PUERTO RICO-VIRGIN ISLANDS,,122.9,TJCP
2402,SIG,PR,SAN JUAN,FERNANDO LUIS RIBAS DOMINICCI,018-27-24.4000N,066-05-54.5000W,9.8,PUERTO RICO-VIRGIN ISLANDS,,135.875,TJIG
2403,MAZ,PR,MAYAGUEZ,EUGENIO MARIA DE HOSTOS,018-15-20.5000N,067-08-54.5000W,27.7,PUERTO RICO-VIRGIN ISLANDS,122.8,122.8,TJMZ
2404,PSE,PR,PONCE,MERCEDITA,018-00-31.6100N,066-33-52.2700W,28.4,PUERTO RICO-VIRGIN ISLANDS,122.7,122.7,TJPS
2405,RVR,PR,CEIBA,JOSE APONTE DE LA TORRE,018-14-42.4000N,065-38-36.3200W,38.1,PUERTO RICO-VIRGIN ISLANDS,,122.7,TJRV
2406,SJU,PR,SAN JUAN,LUIS MUNOZ MARIN INTL,018-26-21.8400N,066-00-07.6800W,9.6,PUERTO RICO-VIRGIN ISLANDS,123,,TJSJ
2407,VQS,PR,ISLA DE VIEQUES,ANTONIO RIVERA RODRIGUEZ,018-08-05.3200N,065-29-37.0200W,49,PUERTO RICO-VIRGIN ISLANDS,123,123,TJVQ
2408,TNCE,,ORANJESTAD,F D ROOSEVELT,017-29-32.5000N,062-58-29.9000W,129,,,118.1,TNCE
2409,TNCM,,PHILIPSBURG,PRINCESS JULIANA INTL,018-02-27.3400N,063-06-32.2500W,14,,,,TNCM
2410,TQPF,,THE VALLEY,CLAYTON J LLOYD INTL,018-12-17.2800N,063-03-13.8700W,127,,,,TQPF
2411,TUPJ,,ROADTOWN,TERRANCE B LETTSOME INTL,018-26-44.0000N,064-32-30.0000W,16,,,,TUPJ
2412,TXKF,,HAMILTON,L F WADE INTL,032-21-50.5000N,064-40-43.3000W,18.4,,122.8,,TXKF
2413,H88,MO,FREDERICKTOWN,A PAUL VANCE FREDERICKTOWN RGNL,037-36-20.3000N,090-17-14.9000W,880,ST LOUIS,122.8,122.8,
2414,0J0,AL,ABBEVILLE,ABBEVILLE MUNI,031-36-00.8000N,085-14-17.9100W,463.1,NEW ORLEANS,122.8,122.8,
2415,CYXX,,ABBOTSFORD,ABBOTSFORD,049-01-31.0000N,122-21-36.0000W,194,SEATTLE,,,
2416,U36,ID,ABERDEEN,ABERDEEN MUNI,042-55-15.9500N,112-52-51.2700W,4473.5,SALT LAKE CITY,,122.9,
2417,F83,TX,ABERNATHY,ABERNATHY MUNI,033-50-45.2900N,101-45-46.6100W,3327,DALLAS-FT WORTH,122.8,122.8,
2418,K78,KS,ABILENE,ABILENE MUNI,038-54-14.6000N,097-14-09.1000W,1152.5,WICHITA,122.8,122.8,
2419,4D0,MI,GRAND LEDGE,ABRAMS MUNI,042-46-29.5700N,084-43-59.2900W,841.1,DETROIT,122.7,122.7,
2420,9M4,MS,ACKERMAN,ACKERMAN CHOCTAW COUNTY,033-18-12.4500N,089-13-42.2400W,552,MEMPHIS,,122.9,
2421,4C7,IA,ACKLEY,ACKLEY MUNI,042-32-50.8000N,093-02-00.3000W,1070,OMAHA,,122.9,
2422,0D7,OH,ADA,ADA,040-47-26.1900N,083-49-44.7700W,949,DETROIT,122.8,122.8,
2423,8NC,NC,ROWLAND,ADAMS,034-34-34.0200N,079-14-55.7400W,143,CHARLOTTE,,122.9,
2424,63C,WI,FRIENDSHIP (ADAMS),ADAMS COUNTY LEGION FLD,043-57-38.1200N,089-47-19.1200W,979.2,CHICAGO,,122.9,
2425,IN5,IN,WOOLCOTTVILLE,ADAMS LAKE,041-33-09.6800N,085-19-52.0300W,955,CHICAGO,,122.9,
2426,2A8,AL,ADDISON,ADDISON MUNI,034-13-01.7100N,087-09-29.3700W,786,ATLANTA,,122.9,
2427,A26,CA,ADIN,ADIN,041-11-11.4000N,120-57-15.8000W,4234,KLAMATH FALLS,,122.9,
2428,T31,TX,MC KINNEY,AERO COUNTRY,033-12-30.4200N,096-44-30.9900W,765,DALLAS-FT WORTH,,122.9,
2429,TX1,TX,FRANKSTON,AERO ESTATES,032-04-45.0300N,095-25-56.9300W,345,DALLAS-FT WORTH,,122.9,
2430,T25,TX,FRANKSTON,AERO ESTATES,032-04-54.3000N,095-27-09.0100W,445,DALLAS-FT WORTH,,122.9,
2431,12N,NJ,ANDOVER,AEROFLEX/ANDOVER,041-00-31.0300N,074-44-16.9200W,582.7,NEW YORK,122.8,122.8,
2432,13M,MI,HOWELL,AERONUT PARK,042-36-15.0000N,083-51-31.0000W,980,DETROIT,,122.9,
2433,L54,CA,AGUA CALIENTE SPRINGS,AGUA CALIENTE SPRINGS,032-57-20.5000N,116-17-41.0000W,1220,LOS ANGELES,,122.9,
2434,L70,CA,AGUA DULCE,AGUA DULCE,034-30-12.6500N,118-18-47.3700W,2633,LOS ANGELES,122.8,122.8,
2435,W88,NC,GREENSBORO,AIR HARBOR,036-10-25.0000N,079-48-11.0000W,822,CINCINNATI,122.8,122.8,
